플랫폼1,플랫폼2,플랫폼3
카카오톡,-,카카오
인스타그램,-,인스타
블로그·맘카페,블로그,블로그
블로그·맘카페,맘카페,맘카페
B2B,여수시청 홈페이지,B2B
B2B,GS칼텍스 여수공장 식당,B2B
B2B,GS칼텍스 여수공장 인트라넷,B2B
문자,마케팅 수신 회원,문자
문자,프로그램 대상 타겟 회원,문자
기타,-,기타
