사업명,ID,기준석,총회차,총오픈석,목표점유율,수익성,티켓오픈일,종료일,시작일,상태
어린이 뮤지컬 <100층짜리 집>,260514_01,926,6,5556,60,상업성,2026-01-29,2026-05-16,2026-05-14,판매중
"2026 실내악페스티벌 <실내악, 그 이상의 세계>",260416_01,926,4,3704,20,공공성,2026-02-06,2026-04-19,2026-04-16,판매중
2026 브런치 콘서트 Ⅰ <클래식과 함께 하는 미술관 여행 Ⅰ>,260409_01,926,1,926,60,상업성,2026-02-12,2026-04-09,2026-04-09,판매중
한국페스티발앙상블 <세상에서 가장 편한 음악>,260523_01,926,1,926,20,공공성,,2026-05-23,2026-05-23,판매중
국립심포니오케스트라 <피터와 늑대 & 어미 거위>,260530_01,926,1,926,20,공공성,2026-03-06,2026-05-30,2026-05-30,판매중
김영욱×콜레기움 무지쿰 서울 <8 Seasons>,260507_01,926,1,926,20,공공성,2026-03-20,2026-05-07,2026-05-07,판매중
2026 브런치 콘서트 Ⅱ <클래식과 함께 하는 미술관 여행 Ⅱ>,260604_01,926,1,926,,,,2026-06-04,2026-06-04,판매중
연극 <노인의 꿈>,260613_01,977,2,1954,,,,2026-06-13,2026-06-13,판매중
2026 헬로!오페라 <세비야의 이발사>,260619_01,926,2,1852,,,,2026-06-20,2026-06-19,판매중
