회원키,총구매,총매수,총금액,첫구매일,최근구매일,분포
00000004442,2,6,175000,20210114: ,20241012: ,2021|클래식:1;2024|클래식:1
00000016708,3,3,126000,20210114: ,20210319: ,2021|클래식:3
00000016515,33,57,1679000,20200619: ,20251204: ,2021|클래식:9;2022|클래식:6;2023|클래식:10;2025|발레/연극:1;2025|클래식:4;2020|클래식:3
00000018722,12,23,1334000,20201205: ,20240824: ,2021|클래식:5;2021|뮤지컬:1;2021|발레/연극:1;2022|클래식:1;2024|클래식:1;2020|클래식:3
00000002026,10,44,1182000,20201126: ,20250517: ,2021|클래식:1;2021|어린이·가족:1;2022|미상:1;2024|어린이·가족:1;2024|클래식:4;2025|어린이·가족:1;2020|클래식:1
00000001745,35,49,2063000,20200605: ,20251204: ,2021|클래식:5;2022|클래식:7;2022|미상:1;2022|발레/연극:1;2023|클래식:1;2023|발레/연극:1;2024|클래식:4;2024|뮤지컬:1;2025|클래식:12;2025|발레/연극:1;2020|클래식:1
00000007507,1,4,150000,20210114: ,20210114: ,2021|클래식:1
00000018523,2,2,78500,20210114: ,20210529: ,2021|클래식:1;2021|발레/연극:1
00000011930,29,32,1075000,20200619: ,20251026: ,2021|클래식:8;2021|발레/연극:1;2022|클래식:2;2022|발레/연극:2;2023|클래식:3;2024|클래식:4;2025|발레/연극:1;2025|클래식:6;2020|클래식:2
00000004347,5,8,543000,20210114: ,20250308: ,2021|클래식:1;2022|뮤지컬:1;2023|클래식:1;2025|클래식:2
00000010824,16,20,937500,20201018: ,20251026: ,2021|클래식:4;2021|발레/연극:1;2022|클래식:3;2022|발레/연극:1;2023|클래식:2;2023|발레/연극:1;2025|클래식:3;2020|클래식:1
00000012729,4,4,318500,20201126: ,20210917: ,2021|클래식:3;2020|클래식:1
00000007155,4,4,191000,20210114: ,20220901: ,2021|클래식:1;2022|클래식:3
00000001275,4,10,538000,20201126: ,20230119: ,2021|클래식:1;2022|클래식:1;2023|클래식:1;2020|클래식:1
00000009667,13,44,1770000,20201024: ,20230119: ,2021|클래식:7;2021|발레/연극:1;2022|뮤지컬:1;2022|클래식:1;2023|클래식:1;2020|뮤지컬:1;2020|클래식:1
00000007004,4,12,675000,20210114: ,20220901: ,2021|클래식:1;2021|뮤지컬:1;2022|클래식:2
00000001833,21,50,3820500,20201126: ,20251122: ,2021|클래식:3;2021|뮤지컬:3;2022|클래식:3;2022|뮤지컬:4;2022|미상:1;2023|발레/연극:1;2023|클래식:1;2024|뮤지컬:1;2024|클래식:1;2025|뮤지컬:2;2020|클래식:1
00000020538,32,45,1578000,20200619: ,20251204: ,2021|클래식:3;2021|뮤지컬:1;2022|클래식:6;2023|클래식:4;2023|발레/연극:1;2024|클래식:4;2025|클래식:7;2025|뮤지컬:1;2020|클래식:5
00000010569,10,20,1319500,20210114: ,20231020: ,2021|클래식:2;2022|클래식:1;2022|발레/연극:1;2023|클래식:4;2023|뮤지컬:1;2023|발레/연극:1
00000022240,46,80,3844200,20201016: ,20250116: ,2021|클래식:6;2021|발레/연극:1;2022|클래식:8;2022|발레/연극:2;2023|클래식:11;2023|발레/연극:1;2024|클래식:11;2024|발레/연극:3;2025|클래식:1;2020|클래식:2
00000012937,2,3,240500,20210114: ,20251123: ,2021|클래식:1;2025|뮤지컬:1
00000004766,23,28,1271700,20201016: ,20250720: ,2021|클래식:1;2021|발레/연극:1;2022|발레/연극:2;2022|뮤지컬:1;2023|클래식:3;2023|뮤지컬:1;2023|발레/연극:1;2024|클래식:6;2024|뮤지컬:1;2024|발레/연극:1;2025|발레/연극:3;2020|클래식:2
00000018730,7,13,876000,20201202: ,20230610: ,2021|클래식:2;2021|뮤지컬:1;2023|발레/연극:1;2020|클래식:3
00000011395,15,38,2086400,20201024: ,20250216: ,2021|클래식:1;2021|발레/연극:1;2022|어린이·가족:1;2023|클래식:4;2023|뮤지컬:2;2024|클래식:1;2024|발레/연극:1;2025|클래식:1;2025|뮤지컬:1;2020|뮤지컬:1;2020|클래식:1
00000002032,12,21,798000,20201018: ,20251115: ,2021|클래식:7;2023|발레/연극:1;2023|클래식:1;2025|클래식:1;2020|클래식:2
00000002796,30,44,2308500,20201016: ,20250904: ,2021|클래식:3;2021|뮤지컬:1;2022|클래식:6;2022|발레/연극:2;2023|클래식:6;2023|발레/연극:1;2024|클래식:6;2024|뮤지컬:1;2025|클래식:1;2020|클래식:3
00000008458,4,12,791000,20210114: ,20230408: ,2021|클래식:2;2022|발레/연극:1;2023|뮤지컬:1
00000020844,12,24,1864000,20210114: ,20250705: ,2021|클래식:2;2021|뮤지컬:1;2021|발레/연극:1;2022|클래식:1;2022|발레/연극:1;2023|클래식:1;2023|뮤지컬:1;2024|클래식:1;2025|클래식:1;2025|발레/연극:1;2025|뮤지컬:1
00000022566,4,9,779000,20210114: ,20250308: ,2021|클래식:1;2024|클래식:1;2024|뮤지컬:1;2025|클래식:1
00000020354,3,5,168500,20210114: ,20231110: ,2021|클래식:1;2023|클래식:2
00000009735,11,22,951000,20201016: ,20250904: ,2021|클래식:3;2022|클래식:1;2023|클래식:3;2025|클래식:3;2020|클래식:1
00000010067,5,7,262000,20210114: ,20251204: ,2021|클래식:1;2022|클래식:1;2025|클래식:3
00000017019,4,6,126000,20210114: ,20230519: ,2021|클래식:2;2022|클래식:1;2023|클래식:1
00000022172,12,18,1072000,20200619: ,20251122: ,2021|클래식:3;2022|클래식:2;2023|클래식:2;2023|어린이·가족:1;2024|클래식:1;2025|뮤지컬:1;2020|클래식:2
00000019288,52,82,3737400,20200619: ,20251128: ,2021|클래식:10;2021|뮤지컬:2;2021|발레/연극:1;2021|어린이·가족:1;2021|기타:2;2022|클래식:4;2022|발레/연극:1;2022|미상:1;2023|클래식:6;2023|뮤지컬:2;2024|클래식:2;2025|클래식:3;2025|발레/연극:4;2025|뮤지컬:2;2025|어린이·가족:2;2020|클래식:8;2020|뮤지컬:1
00000004869,6,12,688000,20210114: ,20241126: ,2021|클래식:1;2022|클래식:1;2022|뮤지컬:1;2023|발레/연극:1;2023|클래식:1;2024|클래식:1
00000019199,3,5,187000,20210114: ,20250720: ,2021|클래식:1;2024|발레/연극:1;2025|발레/연극:1
00000019619,28,69,1786000,20200619: ,20250116: ,2021|클래식:6;2022|클래식:6;2023|클래식:9;2023|발레/연극:1;2024|클래식:2;2025|클래식:1;2020|클래식:3
00000008521,1,4,120000,20210114: ,20210114: ,2021|클래식:1
00000000358,21,43,873000,20200619: ,20240904: ,2021|클래식:7;2022|클래식:4;2023|클래식:4;2024|클래식:4;2020|클래식:2
00000003096,43,80,3366000,20200619: ,20250327: ,2021|클래식:9;2021|뮤지컬:2;2021|발레/연극:1;2022|클래식:5;2022|뮤지컬:1;2022|발레/연극:1;2023|클래식:8;2023|발레/연극:1;2024|클래식:6;2025|클래식:4;2020|클래식:5
00000000307,12,13,1016500,20201018: ,20240712: ,2021|클래식:1;2021|뮤지컬:1;2022|클래식:2;2022|뮤지컬:2;2022|미상:1;2023|클래식:2;2024|클래식:1;2024|뮤지컬:1;2020|클래식:1
00000002296,6,7,402000,20201126: ,20250308: ,2021|클래식:2;2022|클래식:2;2025|클래식:1;2020|클래식:1
00000001172,13,20,614500,20200619: ,20250904: ,2021|클래식:2;2021|어린이·가족:1;2022|클래식:5;2022|뮤지컬:1;2023|클래식:1;2025|클래식:2;2020|클래식:1
00000016021,4,7,395000,20201205: ,20210114: ,2021|클래식:1;2020|클래식:3
00000018802,19,38,1837000,20200619: ,20250904: ,2021|클래식:3;2021|뮤지컬:1;2021|발레/연극:1;2022|클래식:3;2023|클래식:1;2023|뮤지컬:1;2025|클래식:1;2020|클래식:8
00000016940,7,7,300500,20210114: ,20250904: ,2021|클래식:3;2022|클래식:2;2024|클래식:1;2025|클래식:1
00000013724,1,3,74000,20210114: ,20210114: ,2021|클래식:1
00000009733,5,5,252500,20210114: ,20231020: ,2021|클래식:2;2023|클래식:3
00000014215,40,110,5378100,20200605: ,20251115: ,2021|클래식:5;2021|발레/연극:1;2022|클래식:3;2022|발레/연극:1;2023|클래식:7;2023|발레/연극:1;2024|클래식:8;2024|뮤지컬:1;2024|기타:1;2024|발레/연극:2;2025|클래식:4;2025|발레/연극:1;2025|뮤지컬:1;2020|클래식:4
00000008799,3,6,235500,20210114: ,20250308: ,2021|클래식:2;2025|클래식:1
00000013641,22,22,1595500,20201205: ,20251122: ,2021|클래식:2;2021|발레/연극:1;2021|뮤지컬:1;2022|뮤지컬:2;2023|뮤지컬:2;2023|발레/연극:2;2024|발레/연극:2;2024|뮤지컬:3;2025|뮤지컬:3;2025|발레/연극:2;2025|클래식:1;2020|클래식:1
00000017967,22,39,1737500,20201205: ,20251204: ,2021|클래식:4;2022|클래식:5;2022|뮤지컬:1;2023|클래식:2;2024|클래식:2;2025|클래식:5;2025|발레/연극:2;2020|클래식:1
00000003987,19,59,4594000,20201018: ,20250116: ,2021|클래식:4;2021|뮤지컬:3;2022|클래식:1;2022|뮤지컬:2;2023|클래식:1;2025|클래식:1;2020|클래식:7
00000011267,1,1,45000,20210114: ,20210114: ,2021|클래식:1
00000013135,5,10,402000,20210319: ,20251204: ,2021|클래식:1;2025|뮤지컬:1;2025|클래식:3
00000006684,5,5,220000,20201016: ,20221208: ,2021|클래식:1;2022|클래식:1;2020|클래식:3
00000004216,1,2,90000,20210319: ,20210319: ,2021|클래식:1
00000016555,3,5,165000,20201126: ,20230119: ,2021|클래식:1;2023|클래식:1;2020|클래식:1
00000005644,7,9,305000,20210319: ,20250424: ,2021|클래식:4;2022|클래식:1;2025|클래식:1;2025|발레/연극:1
00000009933,2,5,404000,20210319: ,20211210: ,2021|클래식:1;2021|뮤지컬:1
00000010284,1,2,85000,20210319: ,20210319: ,2021|클래식:1
00000006688,33,50,1609000,20200619: ,20251017: ,2021|클래식:7;2022|클래식:5;2023|클래식:8;2024|클래식:6;2025|클래식:3;2020|클래식:4
00000017031,10,23,1069500,20210319: ,20250308: ,2021|클래식:1;2022|클래식:2;2023|클래식:3;2024|클래식:2;2025|클래식:2
00000012571,9,12,616000,20201225: ,20241206: ,2021|클래식:3;2021|발레/연극:1;2023|클래식:1;2024|클래식:2;2020|클래식:2
00000014462,1,2,90000,20210319: ,20210319: ,2021|클래식:1
00000020493,11,21,852000,20200605: ,20231013: ,2021|클래식:5;2022|발레/연극:1;2023|클래식:2;2020|클래식:3
00000004935,2,4,72000,20210319: ,20210325: ,2021|클래식:2
00000008647,4,10,382700,20210319: ,20250920: ,2021|클래식:1;2021|어린이·가족:1;2022|클래식:1;2025|어린이·가족:1
00000013470,19,33,1277500,20200619: ,20220929: ,2021|클래식:6;2021|발레/연극:1;2021|어린이·가족:1;2022|뮤지컬:1;2022|어린이·가족:1;2022|클래식:1;2022|미상:2;2022|발레/연극:2;2020|클래식:4
00000001873,3,6,316000,20210319: ,20231020: ,2021|클래식:2;2023|클래식:1
00000011543,31,58,2474500,20200605: ,20251025: ,2021|클래식:5;2021|뮤지컬:1;2022|클래식:2;2023|뮤지컬:1;2023|클래식:4;2024|클래식:7;2024|기타:1;2025|클래식:5;2025|발레/연극:1;2025|뮤지컬:1;2020|클래식:3
00000017875,7,9,560000,20201225: ,20230323: ,2021|클래식:1;2021|발레/연극:1;2022|클래식:2;2023|클래식:1;2020|클래식:2
00000022503,23,23,1241500,20210319: ,20251026: ,2021|클래식:2;2022|클래식:2;2023|클래식:4;2023|뮤지컬:1;2024|클래식:4;2024|뮤지컬:1;2025|클래식:7;2025|발레/연극:1;2025|뮤지컬:1
00000013147,4,12,359000,20210319: ,20240119: ,2021|클래식:1;2023|클래식:2;2024|클래식:1
00000004301,2,4,126000,20210319: ,20250710: ,2021|클래식:1;2025|클래식:1
00000000077,1,2,90000,20210319: ,20210319: ,2021|클래식:1
00000011559,1,1,50000,20210319: ,20210319: ,2021|클래식:1
00000003546,13,15,797500,20201017: ,20251025: ,2021|클래식:6;2023|발레/연극:1;2025|클래식:3;2020|클래식:2;2022|클래식:1
00000005210,10,17,695000,20210319: ,20241221: ,2021|클래식:4;2021|뮤지컬:1;2022|뮤지컬:1;2022|클래식:2;2023|클래식:1;2024|클래식:1
00000019453,1,2,90000,20210319: ,20210319: ,2021|클래식:1
00000018966,7,13,256000,20201017: ,20240605: ,2021|클래식:1;2022|클래식:2;2023|클래식:1;2024|발레/연극:1;2024|클래식:1;2020|클래식:1
00000021440,1,2,20000,20210325: ,20210325: ,2021|클래식:1
00000008524,10,17,1014000,20210325: ,20250706: ,2021|클래식:2;2022|뮤지컬:1;2022|클래식:2;2023|클래식:2;2024|클래식:1;2025|클래식:1;2025|뮤지컬:1
00000014775,3,6,120000,20210325: ,20210821: ,2021|클래식:3
00000021839,13,18,772500,20210325: ,20251129: ,2021|클래식:2;2021|뮤지컬:1;2021|발레/연극:1;2022|뮤지컬:1;2022|클래식:1;2023|클래식:2;2023|발레/연극:1;2025|뮤지컬:1;2025|클래식:1;2025|발레/연극:2
00000019041,12,23,433800,20210325: ,20250803: ,2021|클래식:4;2021|어린이·가족:1;2022|클래식:3;2022|미상:1;2024|클래식:1;2025|어린이·가족:2
00000016581,6,9,262800,20200619: ,20241224: ,2021|클래식:2;2022|클래식:1;2023|뮤지컬:1;2024|발레/연극:1;2020|클래식:1
00000018481,10,14,755000,20201017: ,20250911: ,2021|클래식:2;2021|뮤지컬:1;2021|발레/연극:1;2022|뮤지컬:1;2022|발레/연극:1;2025|클래식:2;2020|클래식:2
00000010830,1,2,18000,20210325: ,20210325: ,2021|클래식:1
00000014331,17,27,1391500,20200619: ,20240519: ,2021|클래식:2;2021|뮤지컬:1;2022|클래식:3;2022|뮤지컬:2;2023|발레/연극:2;2023|클래식:1;2024|발레/연극:1;2020|클래식:5
00000019077,1,1,10000,20210325: ,20210325: ,2021|클래식:1
00000011941,41,99,3081000,20200619: ,20251115: ,2021|클래식:8;2021|발레/연극:1;2022|클래식:6;2023|클래식:11;2025|발레/연극:1;2025|뮤지컬:2;2025|클래식:9;2020|클래식:3
00000010802,1,1,9000,20210325: ,20210325: ,2021|클래식:1
00000005987,25,46,1402000,20200619: ,20251204: ,2021|클래식:4;2022|클래식:5;2023|클래식:4;2024|클래식:5;2024|뮤지컬:1;2025|클래식:3;2025|뮤지컬:2;2020|클래식:1
00000008631,3,10,617000,20210325: ,20240119: ,2021|클래식:1;2021|뮤지컬:1;2024|클래식:1
00000003921,3,9,387500,20210325: ,20250116: ,2021|클래식:1;2023|클래식:1;2025|클래식:1
00000018673,15,27,843500,20200619: ,20231223: ,2021|클래식:3;2021|어린이·가족:1;2022|어린이·가족:1;2023|뮤지컬:1;2023|발레/연극:1;2023|클래식:5;2023|어린이·가족:1;2020|클래식:2
00000003370,9,62,771500,20210325: ,20220901: ,2021|클래식:5;2022|클래식:4
00000013293,4,9,274500,20210325: ,20230519: ,2021|클래식:2;2021|어린이·가족:1;2023|클래식:1
00000010946,2,4,306000,20210325: ,20210425: ,2021|클래식:1;2021|뮤지컬:1
00000006353,5,7,268200,20210325: ,20251129: ,2021|클래식:1;2022|어린이·가족:1;2023|뮤지컬:1;2024|발레/연극:1;2025|발레/연극:1
00000001234,6,16,733000,20210325: ,20250215: ,2021|클래식:2;2024|클래식:3;2025|뮤지컬:1
00000014267,1,1,9000,20210325: ,20210325: ,2021|클래식:1
00000015241,8,9,320000,20200619: ,20250904: ,2021|클래식:2;2022|클래식:2;2023|클래식:2;2025|클래식:1;2020|클래식:1
00000012324,7,13,813500,20210325: ,20250705: ,2021|클래식:2;2022|클래식:1;2025|클래식:3;2025|뮤지컬:1
00000016436,1,1,9000,20210325: ,20210325: ,2021|클래식:1
00000012308,6,6,599500,20210325: ,20251123: ,2021|클래식:1;2022|클래식:1;2022|뮤지컬:1;2024|뮤지컬:1;2025|뮤지컬:2
00000004007,2,2,18000,20201202: ,20210325: ,2021|클래식:1;2020|클래식:1
00000010118,15,30,993500,20210325: ,20251024: ,2021|클래식:4;2021|어린이·가족:1;2023|뮤지컬:1;2023|어린이·가족:1;2024|클래식:2;2024|발레/연극:1;2025|클래식:4;2025|뮤지컬:1
00000002713,5,11,484500,20201024: ,20231223: ,2021|클래식:1;2021|어린이·가족:1;2023|클래식:2;2020|뮤지컬:1
00000013028,2,3,153000,20210325: ,20220415: ,2021|클래식:1;2022|뮤지컬:1
00000001271,3,6,63000,20210325: ,20220324: ,2021|클래식:2;2022|클래식:1
00000020632,4,9,211900,20210325: ,20250802: ,2021|클래식:2;2022|클래식:1;2025|어린이·가족:1
00000003674,5,15,517000,20210325: ,20240515: ,2021|클래식:2;2021|발레/연극:2;2024|발레/연극:1
00000018417,30,86,1617000,20201017: ,20250911: ,2021|클래식:4;2022|클래식:8;2023|클래식:4;2024|클래식:6;2025|클래식:6;2020|클래식:2
00000014144,1,4,38000,20210325: ,20210325: ,2021|클래식:1
00000018600,3,5,199000,20210325: ,20250529: ,2021|클래식:1;2025|뮤지컬:1;2025|발레/연극:1
00000007850,2,3,27000,20210325: ,20210617: ,2021|클래식:2
00000013831,2,3,180000,20210325: ,20240712: ,2021|클래식:1;2024|뮤지컬:1
00000003610,12,38,1433000,20210325: ,20250517: ,2021|클래식:3;2021|어린이·가족:1;2022|클래식:3;2022|어린이·가족:1;2023|뮤지컬:2;2023|어린이·가족:1;2025|어린이·가족:1
00000018514,6,11,109000,20210325: ,20221208: ,2021|클래식:5;2022|클래식:1
00000016761,4,24,234000,20210325: ,20210909: ,2021|클래식:4
00000012457,2,3,23000,20210325: ,20210325: ,2021|클래식:2
00000001710,4,8,914000,20210325: ,20251122: ,2021|클래식:1;2021|뮤지컬:1;2024|뮤지컬:1;2025|뮤지컬:1
00000004877,35,40,1319000,20200619: ,20251204: ,2021|클래식:4;2021|뮤지컬:2;2021|발레/연극:2;2022|클래식:5;2022|뮤지컬:1;2022|발레/연극:1;2023|클래식:6;2023|뮤지컬:1;2024|클래식:4;2024|뮤지컬:1;2025|클래식:6;2020|클래식:2
00000022004,13,30,816300,20200619: ,20251128: ,2021|클래식:2;2021|어린이·가족:1;2023|클래식:1;2024|클래식:2;2024|발레/연극:2;2024|뮤지컬:1;2025|발레/연극:2;2025|어린이·가족:1;2020|클래식:1
00000010155,1,2,18000,20210325: ,20210325: ,2021|클래식:1
00000022053,1,2,18000,20210325: ,20210325: ,2021|클래식:1
00000007489,3,6,288000,20210325: ,20230409: ,2021|클래식:2;2023|뮤지컬:1
00000018404,5,9,99000,20210325: ,20231214: ,2021|클래식:3;2022|클래식:1;2023|클래식:1
00000013436,2,2,99000,20210325: ,20220417: ,2021|클래식:1;2022|뮤지컬:1
00000018090,7,8,450000,20210325: ,20231020: ,2021|클래식:1;2022|클래식:1;2023|클래식:2;2023|뮤지컬:1;2023|발레/연극:2
00000021298,1,2,18000,20210325: ,20210325: ,2021|클래식:1
00000002774,15,31,924500,20200619: ,20250720: ,2021|클래식:2;2021|발레/연극:1;2022|클래식:2;2023|클래식:3;2023|발레/연극:2;2024|클래식:2;2025|발레/연극:1;2020|클래식:2
00000008236,4,8,409000,20210325: ,20210617: ,2021|클래식:2;2021|뮤지컬:1;2021|발레/연극:1
00000007515,6,11,639000,20200619: ,20250705: ,2021|클래식:3;2021|뮤지컬:1;2025|뮤지컬:1;2020|클래식:1
00000022159,27,52,2069200,20200619: ,20251115: ,2021|클래식:6;2021|발레/연극:1;2022|클래식:3;2022|뮤지컬:2;2022|어린이·가족:1;2022|미상:2;2023|발레/연극:2;2023|클래식:1;2024|뮤지컬:2;2024|발레/연극:1;2025|발레/연극:1;2025|뮤지컬:1;2025|클래식:1;2020|클래식:3
00000003086,2,4,306000,20210325: ,20210425: ,2021|클래식:1;2021|뮤지컬:1
00000001347,2,3,297000,20210325: ,20210425: ,2021|클래식:1;2021|뮤지컬:1
00000008999,8,12,189000,20210325: ,20241204: ,2021|클래식:4;2021|어린이·가족:1;2022|클래식:1;2023|클래식:1;2024|클래식:1
00000018216,9,15,555000,20210325: ,20250911: ,2021|클래식:2;2021|뮤지컬:1;2022|클래식:1;2023|클래식:1;2025|클래식:4
00000020711,11,21,1607500,20210325: ,20250719: ,2021|클래식:1;2021|뮤지컬:1;2021|발레/연극:1;2022|뮤지컬:1;2023|발레/연극:3;2024|발레/연극:1;2024|뮤지컬:2;2025|발레/연극:1
00000009887,10,21,910200,20210325: ,20251129: ,2021|클래식:1;2021|뮤지컬:1;2021|발레/연극:1;2022|어린이·가족:2;2023|뮤지컬:1;2024|어린이·가족:1;2024|발레/연극:1;2025|발레/연극:2
00000017244,6,8,201000,20201205: ,20210909: ,2021|클래식:4;2021|발레/연극:1;2020|클래식:1
00000002510,8,16,189000,20210325: ,20240904: ,2021|클래식:3;2022|클래식:1;2023|클래식:2;2024|클래식:2
00000021106,3,4,109000,20210325: ,20220120: ,2021|클래식:2;2022|클래식:1
00000011588,3,6,279000,20210325: ,20231214: ,2021|클래식:1;2021|뮤지컬:1;2023|클래식:1
00000013960,15,34,874400,20210325: ,20250911: ,2021|클래식:4;2022|클래식:4;2022|뮤지컬:1;2023|클래식:4;2024|발레/연극:1;2025|클래식:1
00000016460,10,13,213500,20200619: ,20250529: ,2021|클래식:4;2021|발레/연극:1;2022|클래식:1;2023|클래식:1;2025|발레/연극:1;2020|클래식:2
00000009279,10,18,1205700,20201202: ,20250920: ,2021|클래식:1;2021|뮤지컬:1;2021|어린이·가족:1;2022|뮤지컬:1;2023|클래식:1;2023|발레/연극:1;2023|어린이·가족:1;2024|뮤지컬:1;2025|어린이·가족:1;2020|클래식:1
00000006903,4,6,172500,20210325: ,20220616: ,2021|클래식:2;2021|어린이·가족:1;2022|클래식:1
00000004261,4,11,627000,20210325: ,20211225: ,2021|클래식:1;2021|뮤지컬:2;2021|발레/연극:1
00000017552,2,3,81000,20210325: ,20230119: ,2021|클래식:1;2023|클래식:1
00000020237,4,9,82000,20210325: ,20211202: ,2021|클래식:4
00000011163,5,6,243000,20201016: ,20220924: ,2021|클래식:1;2022|발레/연극:2;2020|클래식:2
00000009276,5,13,634000,20210325: ,20230916: ,2021|클래식:1;2021|어린이·가족:1;2022|뮤지컬:1;2023|뮤지컬:1;2023|어린이·가족:1
00000018344,21,38,1351000,20210325: ,20251204: ,2021|클래식:8;2021|뮤지컬:1;2021|발레/연극:1;2022|클래식:3;2023|뮤지컬:1;2024|클래식:3;2025|클래식:4
00000021245,34,41,1354000,20201017: ,20250911: ,2021|클래식:5;2022|클래식:4;2022|뮤지컬:1;2022|발레/연극:4;2023|발레/연극:1;2023|클래식:3;2024|클래식:2;2025|클래식:9;2025|발레/연극:2;2020|클래식:3
00000002845,4,7,67500,20210325: ,20250517: ,2021|클래식:1;2024|클래식:1;2025|발레/연극:1;2025|기타:1
00000020773,4,7,364000,20210325: ,20251123: ,2021|클래식:2;2022|클래식:1;2025|뮤지컬:1
00000022631,1,2,18000,20210325: ,20210325: ,2021|클래식:1
00000012251,4,4,37000,20210325: ,20211202: ,2021|클래식:4
00000005332,10,20,279000,20210325: ,20251204: ,2021|클래식:3;2022|클래식:1;2023|클래식:2;2025|클래식:4
00000021363,4,12,372800,20210325: ,20250920: ,2021|클래식:1;2021|어린이·가족:1;2025|클래식:1;2025|어린이·가족:1
00000020600,4,6,315000,20210325: ,20230407: ,2021|클래식:1;2021|뮤지컬:1;2022|클래식:1;2023|뮤지컬:1
00000022522,6,14,169000,20201202: ,20230921: ,2021|클래식:2;2023|클래식:3;2020|클래식:1
00000014087,18,23,407000,20201202: ,20250911: ,2021|클래식:4;2022|클래식:4;2023|클래식:4;2024|클래식:1;2025|클래식:4;2020|클래식:1
00000008180,7,10,398500,20201126: ,20251115: ,2021|클래식:2;2022|뮤지컬:1;2022|클래식:1;2023|어린이·가족:1;2025|클래식:1;2020|클래식:1
00000007762,4,7,648200,20210325: ,20250803: ,2021|클래식:1;2021|뮤지컬:1;2022|뮤지컬:1;2025|어린이·가족:1
00000007201,8,14,138500,20210325: ,20250308: ,2021|클래식:2;2022|미상:2;2023|클래식:2;2024|클래식:1;2025|클래식:1
00000006921,45,58,1751100,20200619: ,20251204: ,2021|클래식:5;2021|발레/연극:2;2021|뮤지컬:2;2022|뮤지컬:3;2022|클래식:4;2022|발레/연극:2;2022|어린이·가족:2;2022|미상:4;2023|클래식:3;2023|발레/연극:1;2023|뮤지컬:1;2023|어린이·가족:1;2024|클래식:4;2024|뮤지컬:1;2024|발레/연극:1;2025|클래식:5;2025|기타:1;2025|발레/연극:1;2020|클래식:2
00000016292,4,7,337500,20210325: ,20240713: ,2021|클래식:2;2023|클래식:1;2024|뮤지컬:1
00000006332,34,60,2657000,20201017: ,20250719: ,2021|클래식:4;2022|클래식:6;2022|발레/연극:3;2023|클래식:9;2023|발레/연극:2;2024|클래식:2;2025|클래식:2;2025|발레/연극:2;2025|뮤지컬:2;2020|클래식:2
00000004988,5,7,145000,20210325: ,20240904: ,2021|클래식:3;2023|클래식:1;2024|클래식:1
00000014505,7,14,432000,20210325: ,20220917: ,2021|클래식:6;2022|미상:1
00000012708,4,6,77000,20210325: ,20240320: ,2021|클래식:1;2022|미상:2;2024|클래식:1
00000000093,8,12,144000,20201202: ,20241204: ,2021|클래식:1;2022|클래식:3;2023|클래식:1;2024|클래식:1;2020|클래식:2
00000021736,1,2,288000,20210423: ,20210423: ,2021|뮤지컬:1
00000002453,1,2,234000,20210423: ,20210423: ,2021|뮤지컬:1
00000017569,9,18,1925600,20210423: ,20241225: ,2021|뮤지컬:2;2021|발레/연극:1;2022|뮤지컬:1;2023|뮤지컬:2;2023|발레/연극:1;2024|뮤지컬:1;2024|발레/연극:1
00000013174,4,4,584000,20210423: ,20251123: ,2021|뮤지컬:1;2023|뮤지컬:1;2025|뮤지컬:2
00000002025,2,3,338000,20210423: ,20231110: ,2021|뮤지컬:1;2023|클래식:1
00000012390,3,3,108000,20210423: ,20211202: ,2021|뮤지컬:1;2021|클래식:2
00000013911,5,10,286000,20210423: ,20250719: ,2021|뮤지컬:1;2022|미상:1;2023|어린이·가족:1;2025|기타:1;2025|발레/연극:1
00000014205,1,2,288000,20210423: ,20210423: ,2021|뮤지컬:1
00000017523,5,5,356000,20210423: ,20231013: ,2021|뮤지컬:1;2021|클래식:1;2022|클래식:1;2023|발레/연극:1;2023|클래식:1
00000012066,2,4,576000,20210423: ,20250704: ,2021|뮤지컬:1;2025|뮤지컬:1
00000008342,12,31,3184200,20210423: ,20251123: ,2021|뮤지컬:4;2024|발레/연극:1;2024|뮤지컬:1;2025|뮤지컬:3;2025|발레/연극:2;2025|어린이·가족:1
00000021271,1,2,288000,20210423: ,20210423: ,2021|뮤지컬:1
00000009558,4,11,591000,20210423: ,20230916: ,2021|뮤지컬:1;2023|뮤지컬:1;2023|클래식:1;2023|어린이·가족:1
00000019243,1,2,234000,20210423: ,20210423: ,2021|뮤지컬:1
00000012438,6,7,819000,20210423: ,20241123: ,2021|뮤지컬:1;2022|뮤지컬:1;2022|미상:1;2023|뮤지컬:1;2024|뮤지컬:2
00000007603,1,3,252000,20210423: ,20210423: ,2021|뮤지컬:1
00000000428,5,6,677000,20210423: ,20241124: ,2021|뮤지컬:1;2023|클래식:2;2024|뮤지컬:2
00000014530,2,4,407000,20210423: ,20220923: ,2021|뮤지컬:1;2022|발레/연극:1
00000022632,2,4,540000,20210423: ,20211211: ,2021|뮤지컬:2
00000011837,8,18,1938400,20210423: ,20250705: ,2021|뮤지컬:1;2021|발레/연극:1;2022|뮤지컬:2;2023|뮤지컬:1;2024|뮤지컬:1;2024|발레/연극:1;2025|뮤지컬:1
00000021183,9,18,1711000,20210423: ,20250720: ,2021|뮤지컬:1;2022|뮤지컬:1;2022|발레/연극:1;2023|발레/연극:1;2024|뮤지컬:1;2024|발레/연극:1;2025|뮤지컬:2;2025|발레/연극:1
